"","ID1","ID2","lat","long","el","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","CMI","DD1040","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at"
"1","988","2017",51.95378,-123.0638,1065,3.8,15.6,-8.9,24.6,476,206,29.1,75.9,879,1229,5158,33,150,141,242,100,180,-40.1,34.2,625,387,-9999,56,-7.69,490,-2.8,11,22.2,9.8,-12.4,-2.7,5.7,-2.1,-7.6,4.2,14,3.8,116,66,127,154,-9999,15.6,20.8,8,627,168,0,84,2,251,827,150,2196,1282,388,1292,0,8,23,2,2,32,86,29,104,40,1,35,0,180,360,85,0,154,233,0,60,54,51,60,12.9,-7.12,-19.59,6.12
"2","1022","2017",51.96311,-123.0777,1059,3.9,15.7,-9,24.7,477,207,29,75.8,881,1235,5156,33,150,141,242,101,181,-40.1,34.2,626,387,-9999,56,-7.67,494,-2.8,11,22.2,9.8,-12.5,-2.7,5.8,-2.1,-7.7,4.2,14,3.8,117,67,127,154,-9999,15.9,21.1,8.1,628,169,0,84,2,252,830,150,2198,1282,385,1291,0,8,24,2,2,32,86,29,105,40,1,35,0,180,361,85,0,154,233,0,60,54,51,60,12.96,-7.1,-19.67,6.14
"3","1024","2017",51.96127,-123.0048,1115,3.6,15.3,-9.2,24.5,512,215,26.6,71.4,902,1185,5235,29,147,143,240,98,201,-40.3,34,616,371,-9999,56,-2.69,458,-3,10.7,21.8,9.5,-12.6,-2.9,5.6,-2.3,-7.8,3.9,13.7,3.6,129,72,133,165,-9999,15.7,21,8,635,176,0,91,2,239,803,141,2207,1305,409,1314,0,7,20,2,2,31,86,28,117,44,1,40,0,177,355,84,0,148,222,0,60,54,52,60,14.22,-6.07,-18.46,7.61
"4","1045","2017",51.97654,-123.2517,1016,3.7,15.6,-9.1,24.7,446,200,30.8,77.9,906,1222,5196,32,150,140,240,100,166,-41.1,33.9,618,390,-9999,56,-9.3,485,-2.8,10.8,22,9.7,-13,-2.7,5.9,-2.1,-7.9,4,13.9,3.8,104,61,121,147,-9999,15.2,20.5,8.1,648,175,0,83,2,248,826,146,2220,1294,388,1294,0,7,23,2,2,32,87,29,94,38,1,34,0,178,356,84,0,155,235,0,58,55,52,60,11.69,-7.24,-19.42,5.67
"5","1049","2017",51.97211,-123.0771,1080,3.8,15.6,-9.1,24.6,483,208,28.5,74.9,889,1216,5185,31,149,142,241,100,185,-40.2,34.2,623,384,-9999,56,-6.62,481,-2.9,10.9,22.1,9.7,-12.6,-2.8,5.7,-2.2,-7.7,4,13.9,3.8,119,68,128,156,-9999,15.8,21,8,631,173,0,86,2,247,821,147,2201,1292,394,1299,0,7,22,2,2,31,86,29,107,41,1,36,0,179,359,84,0,153,231,0,60,54,51,60,13.15,-6.83,-19.4,6.46
"6","1050","2017",51.97137,-123.048,1104,3.7,15.4,-9.2,24.6,498,212,27.4,72.8,901,1194,5225,30,147,143,240,97,194,-40.4,34,618,376,-9999,56,-4.45,464,-2.9,10.7,21.9,9.6,-12.6,-2.9,5.6,-2.3,-7.8,3.9,13.7,3.6,124,70,131,160,-9999,15.6,21,8.1,635,177,0,89,2,241,808,142,2206,1304,405,1310,0,7,21,2,2,31,86,28,112,43,1,38,0,178,357,84,0,150,226,0,59,54,51,59,13.76,-6.41,-18.84,7.05
"7","1052","2017",51.9706,-123.0188,1123,3.6,15.3,-9.2,24.5,511,216,26.6,70.9,909,1177,5253,28,146,143,240,97,201,-40.5,33.9,615,369,-9999,56,-2.61,453,-2.9,10.6,21.8,9.5,-12.7,-3,5.5,-2.4,-7.8,3.8,13.6,3.5,129,72,133,164,-9999,15.7,21,8,638,179,0,92,2,237,799,139,2210,1311,413,1319,0,7,20,2,2,31,86,28,116,44,1,40,0,177,355,84,0,148,221,0,59,54,52,59,14.19,-6.01,-18.32,7.54
"8","1053","2017",51.97026,-123.0043,1144,3.5,15.2,-9.3,24.5,519,219,26,69.3,916,1161,5279,27,146,143,240,97,205,-40.5,33.8,610,363,-9999,56,-1.16,442,-3,10.5,21.6,9.3,-12.7,-3,5.5,-2.4,-7.9,3.7,13.5,3.5,131,73,135,167,-9999,15.7,21,8,641,182,0,94,2,233,790,136,2213,1319,421,1326,0,7,19,1,2,30,86,28,118,44,1,41,0,175,352,83,0,146,217,0,60,55,52,60,14.41,-5.73,-17.85,8.01
"9","1075","2017",51.985,-123.2368,834,4.6,16.7,-8.5,25.2,414,187,35.4,89.3,830,1424,4896,53,164,132,246,114,143,-39.7,34.9,659,423,-9999,57,-17.32,627,-2.7,12,23.3,10.5,-12.3,-1.7,6.9,-1.2,-7.5,5.2,15.1,4.6,97,53,117,134,-9999,15,20.3,7.9,620,143,0,67,2,305,934,183,2186,1194,297,1219,0,11,40,2,2,37,89,35,86,30,1,26,0,188,373,99,0,167,256,0,60,55,52,61,10.96,-9.58,-21.89,3.19
"10","1080","2017",51.98108,-123.0765,1078,3.8,15.6,-9.1,24.7,489,209,28.1,74.6,894,1217,5190,32,149,142,241,99,188,-40.3,34.2,623,382,-9999,56,-6.09,482,-2.9,10.9,22.1,9.7,-12.6,-2.8,5.7,-2.2,-7.7,4,13.9,3.7,121,69,129,156,-9999,15.9,21,8,633,174,0,86,2,247,822,146,2204,1294,392,1300,0,7,23,2,2,31,86,29,109,42,1,36,0,179,359,84,0,152,230,0,59,54,51,59,13.42,-6.69,-19.35,6.53
"11","1108","2017",52.89305,-123.241,843,2,15.4,-14.3,29.7,586,245,20.5,62.7,1359,1157,5798,26,128,157,228,71,253,-43.4,34.6,626,352,-9999,55,4.22,431,-6.8,8.8,22.2,9.4,-16.1,-5.6,4.9,-3.6,-11.4,1.6,13.6,2.9,152,88,155,171,-9999,14.9,20.1,6.8,904,329,0,126,5,227,792,134,2494,1512,418,1374,0,6,19,1,1,23,84,20,148,58,2,46,0,179,360,87,0,147,205,0,60,52,49,56,17.19,-4.38,-16.61,8.02
"12","1109","2017",51.99368,-123.2217,842,4.6,16.8,-8.6,25.4,397,181,36.8,92.6,836,1431,4898,54,164,132,247,115,138,-39.8,35,659,428,-9999,57,-19.01,633,-2.8,12.1,23.3,10.4,-12.4,-1.7,7,-1.2,-7.6,5.2,15.2,4.6,94,50,114,128,-9999,15,20.3,7.3,623,145,0,68,2,308,939,183,2190,1194,294,1220,0,11,41,2,2,37,89,35,84,29,1,25,0,188,373,98,0,169,259,0,60,55,52,61,10.57,-9.97,-22.2,2.6
"13","1110","2017",51.99294,-123.1925,794,4.9,17,-8.4,25.5,379,175,39.2,97.3,812,1487,4814,62,168,130,249,119,128,-39.2,35.3,669,446,-9999,57,-22.42,672,-2.8,12.5,23.7,10.6,-12.1,-1.4,7.2,-0.9,-7.4,5.5,15.5,4.9,91,47,111,120,-9999,15,20.3,7.3,613,136,0,63,2,325,965,195,2178,1163,275,1198,0,13,47,3,3,39,89,37,81,26,0,22,0,192,378,99,0,173,268,6,61,55,51,61,10.19,-10.9,-23.22,1.5
"14","1111","2017",51.82882,-123.3884,1019,3.6,15.2,-8.4,23.6,474,204,28.8,74.4,888,1166,5227,27,146,143,239,96,184,-41.3,33.3,614,384,-9999,55,-5.59,440,-2.4,10.8,21.6,9.8,-12.8,-2.8,5.4,-2.3,-7.6,4,13.5,3.7,104,75,120,160,-9999,15,20.9,7.8,638,166,0,83,2,238,786,141,2206,1296,424,1301,0,7,18,2,2,31,85,28,93,49,1,41,0,177,352,84,0,152,233,0,57,54,52,59,11.9,-5.63,-18.87,7.01
"15","1111","2017",51.99115,-123.1196,1019,4,15.9,-9.1,25,456,204,30.6,77.8,883,1268,5122,37,152,140,242,103,167,-40.3,34.5,631,395,-9999,56,-10.55,520,-2.8,11.2,22.5,9.9,-12.7,-2.6,6,-2,-7.7,4.3,14.2,4,109,61,126,147,-9999,15.1,20.4,7.5,632,169,0,81,2,261,851,155,2203,1272,367,1280,0,8,26,2,2,33,87,30,98,37,1,32,0,182,364,85,0,157,238,0,59,54,51,60,12.16,-7.83,-20.18,5.3
"16","1113","2017",51.9897,-123.0612,1079,3.7,15.5,-9.2,24.7,497,213,27.6,72.9,900,1213,5203,31,148,143,241,98,192,-40.5,34.2,622,380,-9999,56,-5.13,478,-2.8,10.9,22.1,9.7,-12.7,-2.9,5.7,-2.3,-7.8,4,13.9,3.7,123,69,132,160,-9999,15.4,21,8,636,176,0,88,2,246,820,145,2208,1297,394,1304,0,7,22,2,2,31,86,28,111,43,1,37,0,179,359,84,0,152,227,0,59,54,51,59,13.67,-6.64,-19.06,6.9
"17","1114","2017",51.98893,-123.0322,1125,3.5,15.3,-9.3,24.6,512,216,26.4,70.6,919,1175,5267,28,146,143,240,96,203,-40.7,33.9,614,368,-9999,56,-2.37,452,-2.9,10.5,21.8,9.5,-12.8,-3.1,5.5,-2.4,-7.9,3.7,13.6,3.5,129,73,134,163,-9999,15.4,21,8,642,185,0,92,2,236,799,138,2215,1319,412,1321,0,7,20,2,2,30,86,27,117,45,1,40,0,176,354,83,0,148,220,0,59,54,52,59,14.24,-5.9,-18.23,7.52
"18","1115","2017",51.98816,-123.0031,1154,3.4,15.1,-9.4,24.5,524,223,25.6,67.8,929,1154,5303,26,145,143,240,97,207,-40.8,33.7,608,359,-9999,56,-0.25,437,-3,10.4,21.5,9.3,-12.9,-3.1,5.5,-2.5,-7.9,3.6,13.5,3.4,132,73,137,169,-9999,15.7,21,8,645,188,0,95,2,231,787,134,2219,1329,423,1331,0,7,18,1,2,30,86,27,119,45,1,41,0,174,351,82,0,145,214,0,59,55,52,60,14.53,-5.56,-17.5,8.28
"19","1139","2017",52.00541,-123.3377,1049,3.5,15.3,-9.4,24.7,455,202,29.6,75.5,944,1176,5293,28,146,142,240,97,176,-41.9,33.7,612,384,-9999,56,-7.36,451,-2.9,10.5,21.7,9.6,-13.5,-3,5.6,-2.4,-8.2,3.7,13.6,3.6,107,64,121,150,-9999,15.2,20.7,8,670,184,0,89,2,236,800,139,2247,1320,411,1314,0,7,19,2,2,30,86,28,97,41,1,36,0,176,353,83,0,153,231,0,56,55,52,59,12.01,-6.6,-18.99,6.22
"20","1142","2017",52.00224,-123.2065,779,4.9,17.2,-8.4,25.6,382,176,39,97.7,816,1505,4803,65,169,129,249,120,130,-39.2,35.4,671,447,-9999,57,-22.48,685,-2.9,12.6,23.8,10.7,-12.1,-1.4,7.3,-0.9,-7.5,5.6,15.6,4.9,91,48,111,121,-9999,15,20.3,7.2,617,135,0,63,2,329,976,198,2182,1158,268,1194,0,13,49,3,3,39,89,38,81,27,0,22,0,192,379,100,0,174,268,6,62,54,51,61,10.21,-10.91,-23.3,1.51
"21","1144","2017",51.99976,-123.1041,1031,3.9,15.8,-9.1,24.9,476,207,29.2,76.3,889,1256,5142,35,151,140,242,102,179,-40.4,34.4,628,389,-9999,56,-8.12,511,-2.8,11.1,22.4,9.9,-12.7,-2.7,5.9,-2.1,-7.8,4.2,14.2,3.9,115,66,128,154,-9999,15.2,20.7,7.8,635,171,0,82,2,258,844,153,2206,1278,373,1285,0,8,25,2,2,32,87,30,104,40,1,34,0,181,362,85,0,155,234,0,59,54,51,60,12.82,-7.3,-19.74,6.09
"22","1145","2017",51.99934,-123.0899,1052,3.8,15.7,-9.2,24.8,488,210,28.3,74.6,894,1236,5171,33,150,141,241,100,186,-40.5,34.3,625,384,-9999,56,-6.52,495,-2.8,11,22.2,9.8,-12.8,-2.8,5.8,-2.1,-7.8,4.1,14,3.8,121,67,130,156,-9999,15.3,20.9,8,636,174,0,84,2,252,833,149,2208,1288,383,1293,0,8,24,2,2,32,87,29,109,41,1,35,0,180,360,85,0,153,230,0,59,54,51,59,13.38,-6.96,-19.33,6.39
"23","1148","2017",51.99828,-123.0459,1090,3.6,15.5,-9.3,24.8,508,216,26.9,71.5,912,1201,5231,30,147,142,240,97,198,-40.6,34.1,620,374,-9999,56,-3.62,471,-2.9,10.7,22,9.6,-12.9,-3,5.6,-2.4,-7.9,3.9,13.8,3.6,128,70,134,162,-9999,15.3,21,8,641,181,0,90,2,243,814,142,2214,1307,400,1311,0,7,21,2,2,31,86,28,116,43,1,38,0,178,357,84,0,150,223,0,59,54,51,59,14.15,-6.42,-18.6,7.25
"24","1180","2017",52.0087,-123.1039,1055,3.8,15.7,-9.3,24.9,486,211,28.4,74.3,901,1236,5179,33,150,140,241,101,185,-40.6,34.3,623,383,-9999,56,-6.41,496,-2.8,10.9,22.2,9.7,-12.9,-2.8,5.9,-2.1,-7.8,4.1,14,3.8,119,68,129,156,-9999,15.7,21,8.2,639,177,0,85,2,252,834,148,2212,1291,382,1295,0,8,24,2,2,32,87,29,108,41,1,35,0,180,359,84,0,153,230,0,59,54,52,60,13.21,-6.85,-19.26,6.49
"25","1182","2017",52.00796,-123.0746,1089,3.7,15.5,-9.3,24.8,508,217,26.9,71.3,911,1205,5225,31,148,142,240,98,197,-40.7,34.1,619,374,-9999,56,-3.59,473,-2.9,10.7,22,9.6,-12.9,-2.9,5.7,-2.3,-7.9,3.9,13.8,3.7,127,71,133,164,-9999,16,21,8.6,641,181,0,88,2,244,816,143,2214,1306,398,1308,0,7,22,2,2,31,86,28,115,43,1,38,0,178,357,84,0,150,224,0,58,54,51,59,14.03,-6.35,-18.65,7.37
"26","1185","2017",52.00648,-123.0163,1153,3.4,15.1,-9.6,24.7,529,226,25.3,66.6,942,1148,5325,26,144,144,240,96,209,-40.9,33.7,608,358,-9999,56,0.15,433,-3,10.2,21.5,9.3,-13,-3.2,5.4,-2.6,-8,3.5,13.5,3.4,132,74,138,170,-9999,15.3,21,8,650,195,0,97,2,230,783,133,2226,1338,426,1334,0,6,18,1,2,30,85,27,120,46,1,42,0,175,351,82,0,145,213,0,58,55,52,59,14.58,-5.51,-17.41,8.48
"27","1186","2017",52.00604,-123.0018,1143,3.4,15.1,-9.6,24.7,529,226,25.3,66.9,939,1154,5314,26,145,143,240,97,208,-40.9,33.7,607,357,-9999,56,0.29,437,-3,10.3,21.5,9.3,-13,-3.1,5.5,-2.5,-8,3.6,13.5,3.4,132,74,139,170,-9999,15.4,21,8,650,193,0,95,2,232,787,134,2226,1335,423,1330,0,7,18,1,2,30,86,27,120,46,1,41,0,174,350,82,0,145,212,0,59,55,52,60,14.59,-5.5,-17.24,8.43
